client_id,p_cloud,p_gym,p_insurance,p_mobile,p_music,p_software,p_streaming,p_none,fold,predicted_next_recurring_merchant
C000001,0.027821034605390014,0.03684170198674565,0.1262100060165609,0.30508038359398637,0.07629877281527925,0.02578035736772972,0.2550077456012933,0.14695999801301488,0,mobile
C000005,0.03518979462936203,0.2108397615875509,0.03485201566497664,0.4587313299610766,0.036039204321317284,0.03418731927391837,0.03815537003118408,0.152005204530614,3,mobile
C000007,0.5074563938371847,0.019927290331489052,0.018252817517141254,0.017150389220398157,0.018269482940704386,0.033903727135677894,0.019177704725636437,0.36586219429176825,3,cloud
C000009,0.0668445269999465,0.01277678975997119,0.012008503038572158,0.010746949455208096,0.00938578813176167,0.49393336499801177,0.3540468254749617,0.04025725214156684,4,software
C000012,0.017275260940269224,0.01726132264519216,0.017255736903738095,0.01627150997883404,0.01615322831602298,0.8439584235819932,0.01831897216168113,0.05350554547226914,4,software
C000014,0.46482189758843523,0.020276425803007328,0.019412531894880375,0.01899371138907474,0.01939055066008552,0.35361216130502415,0.019632833690123447,0.0838598876693691,2,cloud
C000015,0.02081701316752496,0.021767656718000596,0.252526288007581,0.02119145610682517,0.02256624660448755,0.022983053466080473,0.023179881271487353,0.6149684046580128,3,none
C000016,0.02528132817409865,0.24287132115620338,0.5782860098615833,0.02435535606267674,0.024861928135524274,0.024615764731397094,0.02567348788952683,0.054054803988989666,0,insurance
C000017,0.02819867251389533,0.02513109043877336,0.010781602258758217,0.33127045872700805,0.053902344915361056,0.027638810218891953,0.3775562458937425,0.14552077503356944,0,streaming
C000021,0.04823610987354278,0.048786750882274785,0.047262061362405086,0.19059308193064123,0.049434837369097887,0.24277740465838665,0.2539596055463049,0.1189501483773467,4,streaming
C000022,0.027134879497176863,0.026768913100731026,0.026030214570599133,0.023914362226312085,0.029580809726541847,0.48176716909221085,0.27387942651974795,0.11092422526668023,1,software
C000024,0.020027247796534565,0.7058624972174865,0.019396097380758277,0.019042353020513537,0.1314025387294825,0.023151260630327228,0.04222848361507611,0.03888952160982126,4,gym
C000025,0.7813638607842583,0.019719849795160952,0.021290420191344788,0.007426422430670845,0.016180048421008796,0.005602531829742352,0.022892651521873197,0.12552421502594063,1,cloud
C000026,0.010735905566065292,0.6325623498442856,0.05408980380625529,0.10971175334852562,0.009631579721634068,0.1314024785899985,0.009852119031240496,0.04201401009199511,3,gym
C000027,0.007993280353102396,0.027411132836456773,0.007336381878517427,0.25232175497481524,0.5998436686233628,0.0549197898596515,0.024707941558839902,0.025466049915254002,0,music
C000028,0.24328936261626935,0.3065237455631506,0.01321843817070693,0.01230800417591798,0.020435329882725815,0.27539630776792157,0.014928478104231823,0.11390033371907587,3,gym
C000029,0.08663692292350524,0.01617697194899937,0.015510531830643475,0.052862334004301674,0.5540408562291252,0.13168002203180387,0.049834527684457244,0.09325783334716381,0,music
C000030,0.23794231152066733,0.038672225704081686,0.15219257153546942,0.037715560773333705,0.1033461016217359,0.04193509876242354,0.04436454467281265,0.3438315854094758,1,none
C000033,0.05920969314672034,0.015149011137141968,0.013755173994786483,0.014144069485621136,0.1197531511649014,0.057793689995174105,0.40482287771710046,0.31537233335855414,3,streaming
C000035,0.05747162443873184,0.21165568934337958,0.05664544995980611,0.29132195431443286,0.06613515955564973,0.05957541789454723,0.06020897242165414,0.19698573207179845,2,mobile
C000038,0.03180606188716624,0.030376802562107834,0.03084527746486848,0.02949035401856106,0.030438824510087045,0.6758692448382153,0.030912655940961292,0.1402607787780328,0,software
C000039,0.04185583104842739,0.043621917918610364,0.045287018669290774,0.04304792323269077,0.04778507890941465,0.04453563979295811,0.04238372079011854,0.6914828696384894,3,none
C000040,0.578186979944157,0.2666023361808841,0.011293032914198411,0.01689195593282991,0.01772217268518427,0.01764175980386151,0.017302779099794233,0.07435898343909061,2,cloud
C000041,0.0072834142249717185,0.007864136480561064,0.8797649054302037,0.007316784176105376,0.060937779655084276,0.00743228450082564,0.006993580517332885,0.022407115014915265,4,insurance
C000043,0.007211721802544185,0.0068527380320175585,0.010267383295140002,0.006798286425812626,0.03545901326141092,0.020793240635918354,0.02795534222065696,0.8846622743264994,2,none
